interface,link_status,protocol_status,hardware_type,address,bia,description,ip_address,mtu,duplex,speed,media_type,bandwidth,delay,encapsulation,last_input,last_output,last_output_hang,queue_strategy,input_rate,output_rate,input_packets,output_packets,input_errors,crc,abort,output_errors
Vlan5,up,"up , Autostate Enabled",Ethernet SVI,78bc.1af2.535f,78bc.1af2.535f,,10.8.252.21/30,9216,,,,1000000 Kbit,10 usec,ARPA,0:00:06,0:00:08,never,fifo,100572000,378839000,1.77682E+11,2.92135E+11,0,0,,
Vlan6,up,"up , Autostate Enabled",Ethernet SVI,78bc.1af2.535f,78bc.1af2.535f,,,9216,,,,1000000 Kbit,10 usec,ARPA,never,never,never,fifo,0,0,0,0,0,0,,
Vlan10,up,"up , Autostate Enabled",Ethernet SVI,78bc.1af2.535f,78bc.1af2.535f,,10.8.10.1/24,9216,,,,1000000 Kbit,10 usec,ARPA,0:00:25,0:00:25,never,fifo,0,0,25336689,25122424,0,0,,
Vlan11,up,"up , Autostate Enabled",Ethernet SVI,78bc.1af2.535f,78bc.1af2.535f,,10.8.11.1/24,9216,,,,1000000 Kbit,10 usec,ARPA,31w3d,3:29:09,never,fifo,0,0,12190589,13830563,0,0,,
Vlan12,up,"up , Autostate Enabled",Ethernet SVI,78bc.1af2.535f,78bc.1af2.535f,,10.8.12.1/24,9216,,,,1000000 Kbit,10 usec,ARPA,1:16:58,0:00:12,never,fifo,0,1000,165523875,345444138,0,0,,
Vlan13,up,"up , Autostate Enabled",Ethernet SVI,78bc.1af2.535f,78bc.1af2.535f,,10.8.13.1/24,9216,,,,1000000 Kbit,10 usec,ARPA,30w2d,1d06h,never,fifo,0,0,3109499,8193052,0,0,,
Vlan14,up,"up , Autostate Enabled",Ethernet SVI,78bc.1af2.535f,78bc.1af2.535f,,10.8.14.1/24,9216,,,,1000000 Kbit,10 usec,ARPA,22:13:57,0:00:02,never,fifo,0,0,46383000,137811939,0,0,,
Vlan15,up,"up , Autostate Enabled",Ethernet SVI,78bc.1af2.535f,78bc.1af2.535f,,10.8.15.1/24,9216,,,,1000000 Kbit,10 usec,ARPA,never,1d06h,never,fifo,0,0,0,451465,0,0,,
Vlan16,up,"up , Autostate Enabled",Ethernet SVI,78bc.1af2.535f,78bc.1af2.535f,,10.8.16.1/24,9216,,,,1000000 Kbit,10 usec,ARPA,never,1d06h,never,fifo,0,0,0,463253,0,0,,
Vlan17,up,"up , Autostate Enabled",Ethernet SVI,78bc.1af2.535f,78bc.1af2.535f,,10.8.17.1/24,9216,,,,1000000 Kbit,10 usec,ARPA,never,1d06h,never,fifo,0,0,0,463746,0,0,,
