interface,link_status,protocol_status,hardware_type,address,bia,description,ip_address,mtu,duplex,speed,media_type,bandwidth,delay,encapsulation,last_input,last_output,last_output_hang,queue_strategy,input_rate,output_rate,input_packets,output_packets,input_errors,crc,abort,output_errors
Vlan5,up,"up , Autostate Enabled",Ethernet SVI,78bc.1af2.535f,78bc.1af2.535f,,10.8.252.21/30,9216,,,,1000000 Kbit,10 usec,ARPA,0:00:01,0:00:06,never,fifo,115386000,389496000,1.78E+11,2.92E+11,0,0,,
Vlan6,up,"up , Autostate Enabled",Ethernet SVI,78bc.1af2.535f,78bc.1af2.535f,,,9216,,,,1000000 Kbit,10 usec,ARPA,never,never,never,fifo,0,0,0,0,0,0,,
Vlan10,up,"up , Autostate Enabled",Ethernet SVI,78bc.1af2.535f,78bc.1af2.535f,,10.8.10.1/24,9216,,,,1000000 Kbit,10 usec,ARPA,0:01:23,0:01:23,never,fifo,0,0,25341896,25127599,0,0,,
Vlan11,up,"up , Autostate Enabled",Ethernet SVI,78bc.1af2.535f,78bc.1af2.535f,,10.8.11.1/24,9216,,,,1000000 Kbit,10 usec,ARPA,31w3d,0:46:49,never,fifo,0,0,12190589,13831321,0,0,,
Vlan12,up,"up , Autostate Enabled",Ethernet SVI,78bc.1af2.535f,78bc.1af2.535f,,10.8.12.1/24,9216,,,,1000000 Kbit,10 usec,ARPA,0:39:59,0:02:29,never,fifo,0,0,165537398,345458807,0,0,,
Vlan13,up,"up , Autostate Enabled",Ethernet SVI,78bc.1af2.535f,78bc.1af2.535f,,10.8.13.1/24,9216,,,,1000000 Kbit,10 usec,ARPA,30w2d,1d07h,never,fifo,0,0,3109499,8193052,0,0,,
Vlan14,up,"up , Autostate Enabled",Ethernet SVI,78bc.1af2.535f,78bc.1af2.535f,,10.8.14.1/24,9216,,,,1000000 Kbit,10 usec,ARPA,0:01:52,0:01:52,never,fifo,0,0,46385901,137814381,0,0,,
Vlan15,up,"up , Autostate Enabled",Ethernet SVI,78bc.1af2.535f,78bc.1af2.535f,,10.8.15.1/24,9216,,,,1000000 Kbit,10 usec,ARPA,never,1d07h,never,fifo,0,0,0,451465,0,0,,
Vlan16,up,"up , Autostate Enabled",Ethernet SVI,78bc.1af2.535f,78bc.1af2.535f,,10.8.16.1/24,9216,,,,1000000 Kbit,10 usec,ARPA,never,1d07h,never,fifo,0,0,0,463253,0,0,,
Vlan17,up,"up , Autostate Enabled",Ethernet SVI,78bc.1af2.535f,78bc.1af2.535f,,10.8.17.1/24,9216,,,,1000000 Kbit,10 usec,ARPA,never,1d07h,never,fifo,0,0,0,463746,0,0,,
Vlan18,up,"up , Autostate Enabled",Ethernet SVI,78bc.1af2.535f,78bc.1af2.535f,,10.8.18.1/24,9216,,,,1000000 Kbit,10 usec,ARPA,never,0:24:37,never,fifo,0,0,0,1483013,0,0,,
Vlan96,up,"up , Autostate Enabled",Ethernet SVI,78bc.1af2.535f,78bc.1af2.535f,,10.8.96.1/24,9216,,,,1000000 Kbit,10 usec,ARPA,0:00:04,0:00:00,never,fifo,0,29000,13007499103,1754369503,0,0,,
Vlan97,up,"up , Autostate Enabled",Ethernet SVI,78bc.1af2.535f,78bc.1af2.535f,,10.8.97.1/24,9216,,,,1000000 Kbit,10 usec,ARPA,0:00:00,0:00:00,never,fifo,1461000,867000,39292569048,48770719509,0,0,,
Vlan128,up,"up , Autostate Enabled",Ethernet SVI,78bc.1af2.535f,78bc.1af2.535f,,10.8.128.1/24,9216,,,,1000000 Kbit,10 usec,ARPA,0:00:51,0:00:06,never,fifo,0,5000,40041516,76978660,0,0,,
Vlan129,up,"up , Autostate Enabled",Ethernet SVI,78bc.1af2.535f,78bc.1af2.535f,,10.8.129.1/24,9216,,,,1000000 Kbit,10 usec,ARPA,0:00:02,0:00:02,never,fifo,0,64810000,332575455,2.03E+11,0,0,,
Vlan130,up,"up , Autostate Enabled",Ethernet SVI,78bc.1af2.535f,78bc.1af2.535f,,10.8.130.1/24,9216,,,,1000000 Kbit,10 usec,ARPA,4w1d,3:05:23,never,fifo,0,0,197097906,326224186,0,0,,
Vlan192,up,"up , Autostate Enabled",Ethernet SVI,78bc.1af2.535f,78bc.1af2.535f,,10.8.192.1/22,9216,,,,1000000 Kbit,10 usec,ARPA,0:00:17,0:00:17,never,fifo,0,0,770389019,1233510869,0,0,,
Vlan196,up,"up , Autostate Enabled",Ethernet SVI,78bc.1af2.535f,78bc.1af2.535f,,10.8.196.1/22,9216,,,,1000000 Kbit,10 usec,ARPA,never,2:11:44,never,fifo,0,0,0,5557831,0,0,,
Vlan208,up,"up , Autostate Enabled",Ethernet SVI,78bc.1af2.535f,78bc.1af2.535f,,10.8.208.1/22,9216,,,,1000000 Kbit,10 usec,ARPA,3d04h,2:51:47,never,fifo,0,0,19414574,34358018,0,0,,
Vlan242,up,"up , Autostate Enabled",Ethernet SVI,78bc.1af2.535f,78bc.1af2.535f,,10.8.242.1/24,9216,,,,1000000 Kbit,10 usec,ARPA,0:00:01,0:00:01,never,fifo,25000,26000,589036176,1005203576,0,0,,
Vlan243,up,"up , Autostate Enabled",Ethernet SVI,78bc.1af2.535f,78bc.1af2.535f,,10.8.243.1/24,9216,,,,1000000 Kbit,10 usec,ARPA,0:15:51,0:15:51,never,fifo,119000,78000,1147576382,1222731161,0,0,,
