,port,name,status,vlan,duplex,speed,type
0,Gi1/0/1,,notconnect,503,auto,auto,10/100/1000BaseTX
1,Gi1/0/2,,notconnect,503,auto,auto,10/100/1000BaseTX
2,Gi1/0/3,,notconnect,503,auto,auto,10/100/1000BaseTX
3,Gi1/0/4,,notconnect,503,auto,auto,10/100/1000BaseTX
4,Gi1/0/5,,notconnect,503,auto,auto,10/100/1000BaseTX
5,Gi1/0/6,,notconnect,503,auto,auto,10/100/1000BaseTX
6,Gi1/0/7,,notconnect,503,auto,auto,10/100/1000BaseTX
7,Gi1/0/8,,notconnect,503,auto,auto,10/100/1000BaseTX
8,Gi1/0/9,,connected,503,a-full,a-1000,10/100/1000BaseTX
9,Gi1/0/10,,notconnect,503,auto,auto,10/100/1000BaseTX
10,Gi1/0/11,,notconnect,503,auto,auto,10/100/1000BaseTX
11,Gi1/0/12,,notconnect,503,auto,auto,10/100/1000BaseTX
12,Gi1/0/13,,notconnect,503,auto,auto,10/100/1000BaseTX
13,Gi1/0/14,,notconnect,503,auto,auto,10/100/1000BaseTX
14,Gi1/0/15,,notconnect,503,auto,auto,10/100/1000BaseTX
15,Gi1/0/16,,notconnect,503,auto,auto,10/100/1000BaseTX
16,Gi1/0/17,,notconnect,503,auto,auto,10/100/1000BaseTX
17,Gi1/0/18,,notconnect,503,auto,auto,10/100/1000BaseTX
18,Gi1/0/19,,notconnect,503,auto,auto,10/100/1000BaseTX
19,Gi1/0/20,,notconnect,503,auto,auto,10/100/1000BaseTX
20,Gi1/0/21,,notconnect,503,auto,auto,10/100/1000BaseTX
21,Gi1/0/22,,notconnect,503,auto,auto,10/100/1000BaseTX
22,Gi1/0/23,,notconnect,503,auto,auto,10/100/1000BaseTX
23,Gi1/0/24,,notconnect,503,auto,auto,10/100/1000BaseTX
24,Gi1/0/25,,notconnect,503,auto,auto,10/100/1000BaseTX
25,Gi1/0/26,,notconnect,503,auto,auto,10/100/1000BaseTX
26,Gi1/0/27,,notconnect,503,auto,auto,10/100/1000BaseTX
27,Gi1/0/28,,notconnect,503,auto,auto,10/100/1000BaseTX
28,Gi1/0/29,,notconnect,503,auto,auto,10/100/1000BaseTX
29,Gi1/0/30,,notconnect,503,auto,auto,10/100/1000BaseTX
30,Gi1/0/31,,notconnect,503,auto,auto,10/100/1000BaseTX
31,Gi1/0/32,,notconnect,503,auto,auto,10/100/1000BaseTX
32,Gi1/0/33,,notconnect,503,auto,auto,10/100/1000BaseTX
33,Gi1/0/34,,notconnect,503,auto,auto,10/100/1000BaseTX
34,Gi1/0/35,,notconnect,503,auto,auto,10/100/1000BaseTX
35,Gi1/0/36,,notconnect,503,auto,auto,10/100/1000BaseTX
36,Gi1/0/37,,notconnect,503,auto,auto,10/100/1000BaseTX
37,Gi1/0/38,,notconnect,503,auto,auto,10/100/1000BaseTX
38,Gi1/0/39,,notconnect,503,auto,auto,10/100/1000BaseTX
39,Gi1/0/40,,notconnect,503,auto,auto,10/100/1000BaseTX
40,Gi1/0/41,,notconnect,503,auto,auto,10/100/1000BaseTX
41,Gi1/0/42,,notconnect,503,auto,auto,10/100/1000BaseTX
42,Gi1/0/43,,notconnect,503,auto,auto,10/100/1000BaseTX
43,Gi1/0/44,,notconnect,503,auto,auto,10/100/1000BaseTX
44,Gi1/0/45,,notconnect,503,auto,auto,10/100/1000BaseTX
45,Gi1/0/46,,notconnect,503,auto,auto,10/100/1000BaseTX
46,Gi1/0/47,,notconnect,503,auto,auto,10/100/1000BaseTX
47,Gi1/0/48,,notconnect,503,auto,auto,10/100/1000BaseTX
48,Te1/1/1,,connected,trunk,full,10G,SFP-10GBase-SR
49,Te1/1/2,,connected,trunk,full,10G,SFP-10GBase-SR
50,Te1/1/3,,notconnect,1,auto,auto,unknown
51,Te1/1/4,,notconnect,1,auto,auto,unknown
52,Te1/1/5,,notconnect,1,auto,auto,unknown
53,Te1/1/6,,notconnect,1,auto,auto,unknown
54,Te1/1/7,,notconnect,1,auto,auto,unknown
55,Te1/1/8,,notconnect,1,auto,auto,unknown
56,Ap1/0/1,,connected,1,a-full,a-1000,App-hosting port
57,Gi2/0/1,,notconnect,503,auto,auto,10/100/1000BaseTX
58,Gi2/0/2,,notconnect,503,auto,auto,10/100/1000BaseTX
59,Gi2/0/3,,notconnect,503,auto,auto,10/100/1000BaseTX
60,Gi2/0/4,,notconnect,503,auto,auto,10/100/1000BaseTX
61,Gi2/0/5,,notconnect,503,auto,auto,10/100/1000BaseTX
62,Gi2/0/6,,notconnect,503,auto,auto,10/100/1000BaseTX
63,Gi2/0/7,,notconnect,503,auto,auto,10/100/1000BaseTX
64,Gi2/0/8,,notconnect,503,auto,auto,10/100/1000BaseTX
65,Gi2/0/9,,notconnect,503,auto,auto,10/100/1000BaseTX
66,Gi2/0/10,,notconnect,503,auto,auto,10/100/1000BaseTX
67,Gi2/0/11,,notconnect,503,auto,auto,10/100/1000BaseTX
68,Gi2/0/12,,notconnect,503,auto,auto,10/100/1000BaseTX
69,Gi2/0/13,,notconnect,503,auto,auto,10/100/1000BaseTX
70,Gi2/0/14,,notconnect,503,auto,auto,10/100/1000BaseTX
71,Gi2/0/15,,notconnect,503,auto,auto,10/100/1000BaseTX
72,Gi2/0/16,,notconnect,503,auto,auto,10/100/1000BaseTX
73,Gi2/0/17,,notconnect,503,auto,auto,10/100/1000BaseTX
74,Gi2/0/18,,notconnect,503,auto,auto,10/100/1000BaseTX
75,Gi2/0/19,,notconnect,503,auto,auto,10/100/1000BaseTX
76,Gi2/0/20,,notconnect,503,auto,auto,10/100/1000BaseTX
77,Gi2/0/21,,notconnect,503,auto,auto,10/100/1000BaseTX
78,Gi2/0/22,,notconnect,503,auto,auto,10/100/1000BaseTX
79,Gi2/0/23,,notconnect,503,auto,auto,10/100/1000BaseTX
80,Gi2/0/24,,notconnect,503,auto,auto,10/100/1000BaseTX
81,Gi2/0/25,,notconnect,503,auto,auto,10/100/1000BaseTX
82,Gi2/0/26,,notconnect,503,auto,auto,10/100/1000BaseTX
83,Gi2/0/27,,notconnect,503,auto,auto,10/100/1000BaseTX
84,Gi2/0/28,,notconnect,503,auto,auto,10/100/1000BaseTX
85,Gi2/0/29,,notconnect,503,auto,auto,10/100/1000BaseTX
86,Gi2/0/30,,connected,128,a-full,a-100,10/100/1000BaseTX
87,Gi2/0/31,,notconnect,503,auto,auto,10/100/1000BaseTX
88,Gi2/0/32,,connected,128,a-full,a-100,10/100/1000BaseTX
89,Gi2/0/33,,notconnect,503,auto,auto,10/100/1000BaseTX
