,intf,ipaddr,status,proto
0,Vlan1,unassigned,administratively down,down
1,Vlan5,10.8.252.21,up,up
2,Vlan6,unassigned,up,up
3,Vlan10,10.8.10.1,up,up
4,Vlan11,10.8.11.1,up,up
5,Vlan12,10.8.12.1,up,up
6,Vlan13,10.8.13.1,up,up
7,Vlan14,10.8.14.1,up,up
8,Vlan15,10.8.15.1,up,up
9,Vlan16,10.8.16.1,up,up
10,Vlan17,10.8.17.1,up,up
11,Vlan18,10.8.18.1,up,up
12,Vlan64,10.8.64.1,administratively down,down
13,Vlan96,10.8.96.1,up,up
14,Vlan97,10.8.97.1,up,up
15,Vlan128,10.8.128.1,up,up
16,Vlan129,10.8.129.1,up,up
17,Vlan130,10.8.130.1,up,up
18,Vlan192,10.8.192.1,up,up
19,Vlan196,10.8.196.1,up,up
20,Vlan208,10.8.208.1,up,up
21,Vlan242,10.8.242.1,up,up
22,Vlan243,10.8.243.1,up,up
23,Vlan255,10.8.252.9,up,up
24,Vlan620,10.8.72.1,up,up
25,Vlan900,10.8.252.2,up,up
26,GigabitEthernet0/0,10.8.240.2,up,up
27,TwentyFiveGigE1/0/1,unassigned,up,up
28,TwentyFiveGigE1/0/2,unassigned,administratively down,down
29,TwentyFiveGigE1/0/3,unassigned,up,up
30,TwentyFiveGigE1/0/4,unassigned,up,up
31,TwentyFiveGigE1/0/5,unassigned,up,up
32,TwentyFiveGigE1/0/6,unassigned,down,down
33,TwentyFiveGigE1/0/7,unassigned,up,up
34,TwentyFiveGigE1/0/8,unassigned,up,up
35,TwentyFiveGigE1/0/9,unassigned,up,up
36,TwentyFiveGigE1/0/10,unassigned,down,down
37,TwentyFiveGigE1/0/11,unassigned,up,up
38,TwentyFiveGigE1/0/12,unassigned,up,up
39,TwentyFiveGigE1/0/13,unassigned,up,up
40,TwentyFiveGigE1/0/14,unassigned,up,up
41,TwentyFiveGigE1/0/15,unassigned,down,down
42,TwentyFiveGigE1/0/16,unassigned,down,down
43,TwentyFiveGigE1/0/17,unassigned,down,down
44,TwentyFiveGigE1/0/18,unassigned,down,down
45,TwentyFiveGigE1/0/19,unassigned,up,up
46,TwentyFiveGigE1/0/20,unassigned,up,up
47,TwentyFiveGigE1/0/21,unassigned,up,up
48,TwentyFiveGigE1/0/22,unassigned,up,up
49,TwentyFiveGigE1/0/23,unassigned,up,up
50,TwentyFiveGigE1/0/24,unassigned,up,up
51,HundredGigE1/0/25,unassigned,down,down
52,HundredGigE1/0/26,unassigned,down,down
53,HundredGigE1/0/27,unassigned,down,down
54,HundredGigE1/0/28,unassigned,down,down
55,TwentyFiveGigE2/0/1,unassigned,up,up
56,TwentyFiveGigE2/0/2,unassigned,administratively down,down
57,TwentyFiveGigE2/0/3,unassigned,up,up
58,TwentyFiveGigE2/0/4,unassigned,up,up
59,TwentyFiveGigE2/0/5,unassigned,down,down
60,TwentyFiveGigE2/0/6,unassigned,down,down
61,TwentyFiveGigE2/0/7,unassigned,up,up
62,TwentyFiveGigE2/0/8,unassigned,up,up
63,TwentyFiveGigE2/0/9,unassigned,up,up
64,TwentyFiveGigE2/0/10,unassigned,down,down
65,TwentyFiveGigE2/0/11,unassigned,up,up
66,TwentyFiveGigE2/0/12,unassigned,up,up
67,TwentyFiveGigE2/0/13,unassigned,up,up
68,TwentyFiveGigE2/0/14,unassigned,up,up
69,TwentyFiveGigE2/0/15,unassigned,down,down
70,TwentyFiveGigE2/0/16,unassigned,down,down
71,TwentyFiveGigE2/0/17,unassigned,down,down
72,TwentyFiveGigE2/0/18,unassigned,down,down
73,TwentyFiveGigE2/0/19,unassigned,up,up
74,TwentyFiveGigE2/0/20,unassigned,up,up
75,TwentyFiveGigE2/0/21,unassigned,up,up
76,TwentyFiveGigE2/0/22,unassigned,up,up
77,TwentyFiveGigE2/0/23,unassigned,up,up
78,TwentyFiveGigE2/0/24,unassigned,up,up
79,HundredGigE2/0/25,unassigned,down,down
80,HundredGigE2/0/26,unassigned,down,down
81,HundredGigE2/0/27,unassigned,down,down
82,HundredGigE2/0/28,unassigned,down,down
83,Port-channel1,unassigned,down,down
84,Port-channel2,unassigned,up,up
85,Port-channel3,unassigned,up,up
86,Port-channel4,unassigned,up,up
87,Port-channel5,unassigned,up,up
88,Port-channel6,unassigned,up,up
89,Port-channel7,10.8.252.5,up,up
90,Port-channel8,unassigned,down,down
91,Port-channel9,unassigned,down,down
92,Port-channel10,unassigned,down,down
93,Port-channel50,unassigned,up,up
94,Port-channel125,unassigned,up,up
95,Port-channel126,unassigned,up,up
96,Loopback0,10.8.250.1,up,up
