,intf,ipaddr,status,proto
0,Vlan1,unassigned,up,up
1,Vlan243,10.8.243.52,up,up
2,GigabitEthernet0/0,unassigned,administratively down,down
3,GigabitEthernet1/0/1,unassigned,down,down
4,GigabitEthernet1/0/2,unassigned,down,down
5,GigabitEthernet1/0/3,unassigned,down,down
6,GigabitEthernet1/0/4,unassigned,down,down
7,GigabitEthernet1/0/5,unassigned,down,down
8,GigabitEthernet1/0/6,unassigned,down,down
9,GigabitEthernet1/0/7,unassigned,down,down
10,GigabitEthernet1/0/8,unassigned,down,down
11,GigabitEthernet1/0/9,unassigned,up,up
12,GigabitEthernet1/0/10,unassigned,down,down
13,GigabitEthernet1/0/11,unassigned,down,down
14,GigabitEthernet1/0/12,unassigned,down,down
15,GigabitEthernet1/0/13,unassigned,down,down
16,GigabitEthernet1/0/14,unassigned,down,down
17,GigabitEthernet1/0/15,unassigned,down,down
18,GigabitEthernet1/0/16,unassigned,down,down
19,GigabitEthernet1/0/17,unassigned,down,down
20,GigabitEthernet1/0/18,unassigned,down,down
21,GigabitEthernet1/0/19,unassigned,down,down
22,GigabitEthernet1/0/20,unassigned,down,down
23,GigabitEthernet1/0/21,unassigned,down,down
24,GigabitEthernet1/0/22,unassigned,down,down
25,GigabitEthernet1/0/23,unassigned,down,down
26,GigabitEthernet1/0/24,unassigned,down,down
27,GigabitEthernet1/0/25,unassigned,down,down
28,GigabitEthernet1/0/26,unassigned,down,down
29,GigabitEthernet1/0/27,unassigned,down,down
30,GigabitEthernet1/0/28,unassigned,down,down
31,GigabitEthernet1/0/29,unassigned,down,down
32,GigabitEthernet1/0/30,unassigned,down,down
33,GigabitEthernet1/0/31,unassigned,down,down
34,GigabitEthernet1/0/32,unassigned,down,down
35,GigabitEthernet1/0/33,unassigned,down,down
36,GigabitEthernet1/0/34,unassigned,down,down
37,GigabitEthernet1/0/35,unassigned,down,down
38,GigabitEthernet1/0/36,unassigned,down,down
39,GigabitEthernet1/0/37,unassigned,down,down
40,GigabitEthernet1/0/38,unassigned,down,down
41,GigabitEthernet1/0/39,unassigned,down,down
42,GigabitEthernet1/0/40,unassigned,down,down
43,GigabitEthernet1/0/41,unassigned,down,down
44,GigabitEthernet1/0/42,unassigned,down,down
45,GigabitEthernet1/0/43,unassigned,down,down
46,GigabitEthernet1/0/44,unassigned,down,down
47,GigabitEthernet1/0/45,unassigned,down,down
48,GigabitEthernet1/0/46,unassigned,down,down
49,GigabitEthernet1/0/47,unassigned,down,down
50,GigabitEthernet1/0/48,unassigned,down,down
51,GigabitEthernet1/1/1,unassigned,down,down
52,GigabitEthernet1/1/2,unassigned,down,down
53,GigabitEthernet1/1/3,unassigned,down,down
54,GigabitEthernet1/1/4,unassigned,down,down
55,Te1/1/1,unassigned,up,up
56,Te1/1/2,unassigned,up,up
57,Te1/1/3,unassigned,down,down
58,Te1/1/4,unassigned,down,down
59,Te1/1/5,unassigned,down,down
60,Te1/1/6,unassigned,down,down
61,Te1/1/7,unassigned,down,down
62,Te1/1/8,unassigned,down,down
63,Fo1/1/1,unassigned,down,down
64,Fo1/1/2,unassigned,down,down
65,TwentyFiveGigE1/1/1,unassigned,down,down
66,TwentyFiveGigE1/1/2,unassigned,down,down
67,Ap1/0/1,unassigned,up,up
68,GigabitEthernet2/0/1,unassigned,down,down
69,GigabitEthernet2/0/2,unassigned,down,down
70,GigabitEthernet2/0/3,unassigned,down,down
71,GigabitEthernet2/0/4,unassigned,down,down
72,GigabitEthernet2/0/5,unassigned,down,down
73,GigabitEthernet2/0/6,unassigned,down,down
74,GigabitEthernet2/0/7,unassigned,down,down
75,GigabitEthernet2/0/8,unassigned,down,down
76,GigabitEthernet2/0/9,unassigned,down,down
77,GigabitEthernet2/0/10,unassigned,down,down
78,GigabitEthernet2/0/11,unassigned,down,down
79,GigabitEthernet2/0/12,unassigned,down,down
80,GigabitEthernet2/0/13,unassigned,down,down
81,GigabitEthernet2/0/14,unassigned,down,down
82,GigabitEthernet2/0/15,unassigned,down,down
83,GigabitEthernet2/0/16,unassigned,down,down
84,GigabitEthernet2/0/17,unassigned,down,down
85,GigabitEthernet2/0/18,unassigned,down,down
86,GigabitEthernet2/0/19,unassigned,down,down
87,GigabitEthernet2/0/20,unassigned,down,down
88,GigabitEthernet2/0/21,unassigned,down,down
89,GigabitEthernet2/0/22,unassigned,down,down
90,GigabitEthernet2/0/23,unassigned,down,down
91,GigabitEthernet2/0/24,unassigned,down,down
92,GigabitEthernet2/0/25,unassigned,down,down
93,GigabitEthernet2/0/26,unassigned,down,down
94,GigabitEthernet2/0/27,unassigned,down,down
95,GigabitEthernet2/0/28,unassigned,down,down
96,GigabitEthernet2/0/29,unassigned,down,down
97,GigabitEthernet2/0/30,unassigned,up,up
98,GigabitEthernet2/0/31,unassigned,down,down
99,GigabitEthernet2/0/32,unassigned,up,up
100,GigabitEthernet2/0/33,unassigned,down,down
101,GigabitEthernet2/0/34,unassigned,up,up
102,GigabitEthernet2/0/35,unassigned,down,down
103,GigabitEthernet2/0/36,unassigned,up,up
104,GigabitEthernet2/0/37,unassigned,down,down
105,GigabitEthernet2/0/38,unassigned,up,up
106,GigabitEthernet2/0/39,unassigned,down,down
107,GigabitEthernet2/0/40,unassigned,up,up
108,GigabitEthernet2/0/41,unassigned,up,up
109,GigabitEthernet2/0/42,unassigned,up,up
110,GigabitEthernet2/0/43,unassigned,down,down
111,GigabitEthernet2/0/44,unassigned,up,up
112,GigabitEthernet2/0/45,unassigned,down,down
113,GigabitEthernet2/0/46,unassigned,up,up
114,GigabitEthernet2/0/47,unassigned,down,down
115,GigabitEthernet2/0/48,unassigned,up,up
116,GigabitEthernet2/1/1,unassigned,down,down
117,GigabitEthernet2/1/2,unassigned,down,down
118,GigabitEthernet2/1/3,unassigned,down,down
119,GigabitEthernet2/1/4,unassigned,down,down
120,Te2/1/1,unassigned,down,down
121,Te2/1/2,unassigned,down,down
122,Te2/1/3,unassigned,down,down
123,Te2/1/4,unassigned,down,down
124,Te2/1/5,unassigned,down,down
125,Te2/1/6,unassigned,down,down
126,Te2/1/7,unassigned,down,down
127,Te2/1/8,unassigned,down,down
128,Fo2/1/1,unassigned,down,down
129,Fo2/1/2,unassigned,down,down
130,TwentyFiveGigE2/1/1,unassigned,down,down
131,TwentyFiveGigE2/1/2,unassigned,down,down
132,Ap2/0/1,unassigned,up,up
133,GigabitEthernet3/0/1,unassigned,up,up
134,GigabitEthernet3/0/2,unassigned,down,down
135,GigabitEthernet3/0/3,unassigned,up,up
136,GigabitEthernet3/0/4,unassigned,down,down
137,GigabitEthernet3/0/5,unassigned,up,up
138,GigabitEthernet3/0/6,unassigned,down,down
139,GigabitEthernet3/0/7,unassigned,down,down
140,GigabitEthernet3/0/8,unassigned,down,down
141,GigabitEthernet3/0/9,unassigned,up,up
142,GigabitEthernet3/0/10,unassigned,down,down
143,GigabitEthernet3/0/11,unassigned,up,up
144,GigabitEthernet3/0/12,unassigned,down,down
145,GigabitEthernet3/0/13,unassigned,up,up
146,GigabitEthernet3/0/14,unassigned,down,down
147,GigabitEthernet3/0/15,unassigned,down,down
148,GigabitEthernet3/0/16,unassigned,down,down
149,GigabitEthernet3/0/17,unassigned,down,down
150,GigabitEthernet3/0/18,unassigned,down,down
151,GigabitEthernet3/0/19,unassigned,down,down
152,GigabitEthernet3/0/20,unassigned,down,down
153,GigabitEthernet3/0/21,unassigned,down,down
154,GigabitEthernet3/0/22,unassigned,up,up
155,GigabitEthernet3/0/23,unassigned,down,down
156,GigabitEthernet3/0/24,unassigned,up,up
157,GigabitEthernet3/0/25,unassigned,down,down
158,GigabitEthernet3/0/26,unassigned,up,up
159,GigabitEthernet3/0/27,unassigned,down,down
160,GigabitEthernet3/0/28,unassigned,up,up
161,GigabitEthernet3/0/29,unassigned,down,down
162,GigabitEthernet3/0/30,unassigned,up,up
163,GigabitEthernet3/0/31,unassigned,down,down
164,GigabitEthernet3/0/32,unassigned,up,up
165,GigabitEthernet3/0/33,unassigned,down,down
166,GigabitEthernet3/0/34,unassigned,up,up
167,GigabitEthernet3/0/35,unassigned,down,down
168,GigabitEthernet3/0/36,unassigned,up,up
169,GigabitEthernet3/0/37,unassigned,down,down
170,GigabitEthernet3/0/38,unassigned,up,up
171,GigabitEthernet3/0/39,unassigned,down,down
172,GigabitEthernet3/0/40,unassigned,up,up
173,GigabitEthernet3/0/41,unassigned,down,down
174,GigabitEthernet3/0/42,unassigned,up,up
175,GigabitEthernet3/0/43,unassigned,down,down
176,GigabitEthernet3/0/44,unassigned,up,up
177,GigabitEthernet3/0/45,unassigned,down,down
178,GigabitEthernet3/0/46,unassigned,up,up
179,GigabitEthernet3/0/47,unassigned,down,down
180,GigabitEthernet3/0/48,unassigned,up,up
181,GigabitEthernet3/1/1,unassigned,down,down
182,GigabitEthernet3/1/2,unassigned,down,down
183,GigabitEthernet3/1/3,unassigned,down,down
184,GigabitEthernet3/1/4,unassigned,down,down
185,Te3/1/1,unassigned,down,down
186,Te3/1/2,unassigned,down,down
187,Te3/1/3,unassigned,down,down
188,Te3/1/4,unassigned,down,down
189,Te3/1/5,unassigned,down,down
190,Te3/1/6,unassigned,down,down
