,interface,switchport,switchport_monitor,switchport_negotiation,mode,admin_mode,access_vlan,native_vlan,voice_vlan,trunking_vlans
0,Gi1/0/1,Enabled,,Off,down,static access,503,1,500,['ALL']
1,Gi1/0/2,Enabled,,Off,down,static access,503,1,500,['ALL']
2,Gi1/0/3,Enabled,,Off,down,static access,503,1,500,['ALL']
3,Gi1/0/4,Enabled,,Off,down,static access,503,1,500,['ALL']
4,Gi1/0/5,Enabled,,Off,down,static access,503,1,500,['ALL']
5,Gi1/0/6,Enabled,,Off,down,static access,503,1,500,['ALL']
6,Gi1/0/7,Enabled,,Off,down,static access,503,1,500,['ALL']
7,Gi1/0/8,Enabled,,Off,down,static access,503,1,500,['ALL']
8,Gi1/0/9,Enabled,,Off,static access,static access,503,1,500,['ALL']
9,Gi1/0/10,Enabled,,Off,down,static access,503,1,500,['ALL']
10,Gi1/0/11,Enabled,,Off,down,static access,503,1,500,['ALL']
11,Gi1/0/12,Enabled,,Off,down,static access,503,1,500,['ALL']
12,Gi1/0/13,Enabled,,Off,down,static access,503,1,500,['ALL']
13,Gi1/0/14,Enabled,,Off,down,static access,503,1,500,['ALL']
14,Gi1/0/15,Enabled,,Off,down,static access,503,1,500,['ALL']
15,Gi1/0/16,Enabled,,Off,down,static access,503,1,500,['ALL']
16,Gi1/0/17,Enabled,,Off,down,static access,503,1,500,['ALL']
17,Gi1/0/18,Enabled,,Off,down,static access,503,1,500,['ALL']
18,Gi1/0/19,Enabled,,Off,down,static access,503,1,500,['ALL']
19,Gi1/0/20,Enabled,,Off,down,static access,503,1,500,['ALL']
20,Gi1/0/21,Enabled,,Off,down,static access,503,1,500,['ALL']
21,Gi1/0/22,Enabled,,Off,down,static access,503,1,500,['ALL']
22,Gi1/0/23,Enabled,,Off,down,static access,503,1,500,['ALL']
23,Gi1/0/24,Enabled,,Off,down,static access,503,1,500,['ALL']
24,Gi1/0/25,Enabled,,Off,down,static access,503,1,500,['ALL']
25,Gi1/0/26,Enabled,,Off,down,static access,503,1,500,['ALL']
26,Gi1/0/27,Enabled,,Off,down,static access,503,1,500,['ALL']
27,Gi1/0/28,Enabled,,Off,down,static access,503,1,500,['ALL']
